Document,Chunk Size,Overlap,kNN,Query,Document Filename,Chunk Index,Chunk Text,Relevance,Completeness,Accuracy
3.pdf,350,50,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,19," trunk and top of the plant being quite resistant to damage.[3]

Cultivation

Dicksonia antarctica grows best in areas of rainfall of over 1,000 mm per year but in lower rainfall areas
does well in moist gullies. It is tolerant of fire and re-shoots readily after re-location. It can provide habitat
for epiphytes and also provides shelter for more d",2,1,1
3.pdf,350,50,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,34,". A.; Davidson, N. J.; Unwin, G. L.; Close, D. C. (June 2002). ""Ecophysiology of the Soft Tree Fern, Dicksonia antarctica Labill"".

Austral Ecology. 27 (4): 360–368. doi:10.1046/j.1442-9993.2002.01190.x (https://doi.org/10.1046%2Fj.1442-9993.2002.01190.x).

4. ""Dicksonia antarctica"" (https://www.rhs.org.uk/Plants/5794/Dicksonia-antarctica/Details).",2,1,1
3.pdf,350,50,1,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,17,"  soil.  Dicksonia  antarctica  is  a  long  lived  species  in
comparison  to  the  trees  that  also  grow  in  its  natural  habitat.  While  it  does  best  in  the  dappled  shade  of
other trees, it must also be able to survive high light intensities when a forest gap is created by the fall of a
tree. It also shows adaptation to fire with the",2,1,1
3.pdf,350,50,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,17,"  soil.  Dicksonia  antarctica  is  a  long  lived  species  in
comparison  to  the  trees  that  also  grow  in  its  natural  habitat.  While  it  does  best  in  the  dappled  shade  of
other trees, it must also be able to survive high light intensities when a forest gap is created by the fall of a
tree. It also shows adaptation to fire with the",2,1,1
3.pdf,350,50,5,4. Why is it advised to keep old fronds on the plant?,3.pdf,20,"all areas
does well in moist gullies. It is tolerant of fire and re-shoots readily after re-location. It can provide habitat
for epiphytes and also provides shelter for more delicate fern species to flourish underneath.

Cross-section of trunk, MHNT

Plant  in  organic  soils  and  ensure  the  fern  is  kept  mulched  and  watered.  Dicksonia  ant",2,1,4
3.pdf,350,50,1,6. What challenging cultivation method is noted for Dicksonia antarctica and when should it be used?,3.pdf,19," trunk and top of the plant being quite resistant to damage.[3]

Cultivation

Dicksonia antarctica grows best in areas of rainfall of over 1,000 mm per year but in lower rainfall areas
does well in moist gullies. It is tolerant of fire and re-shoots readily after re-location. It can provide habitat
for epiphytes and also provides shelter for more d",2,1,3
3.pdf,350,50,3,6. What challenging cultivation method is noted for Dicksonia antarctica and when should it be used?,3.pdf,17,"  soil.  Dicksonia  antarctica  is  a  long  lived  species  in
comparison  to  the  trees  that  also  grow  in  its  natural  habitat.  While  it  does  best  in  the  dappled  shade  of
other trees, it must also be able to survive high light intensities when a forest gap is created by the fall of a
tree. It also shows adaptation to fire with the",2,1,3
4.pdf,350,50,1,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,3,"D. antarctica

Dicksonia  antarctica

,  at  sites  across  its  natural  distribution  and  in  the  glasshouse. 

Environmental constraints on gas exchange, stomatal conductance and water relations were investigated
Abstract
in  the  Soft Tree  Fern, 
Dicksonia
antarctica
  exhibited  strong  stomatal  response  down  to  a  vapour  pressure  deﬁ",2,1,1
4.pdf,350,50,5,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,3,"D. antarctica

Dicksonia  antarctica

,  at  sites  across  its  natural  distribution  and  in  the  glasshouse. 

Environmental constraints on gas exchange, stomatal conductance and water relations were investigated
Abstract
in  the  Soft Tree  Fern, 
Dicksonia
antarctica
  exhibited  strong  stomatal  response  down  to  a  vapour  pressure  deﬁ",2,1,1
4.pdf,350,50,5,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,0,"Austral Ecology

 (2002) 

27

, 360–368

Ecophysiology of the Soft Tree Fern, 
Labill

Dicksonia antarctica

1,3†

 N. J. DAVIDSON,

M. A. HUNT,
1
School of Plant Science, University of Tasmania, GPO Box 252-55, Hobart, Tasmania 7001, 
Australia (Email: neil.davidson@plant.utas.edu.au), 
Hobart, Tasmania, Australia and 
Hobart, Tasmania, Australia",2,1,2
4.pdf,350,50,5,"1. Where is the natural habitat of the Soft Tree Fern, Dicksonia antarctica?",4.pdf,45,"ironmental con-
straints  affecting  gas  exchange,  stomatal  conductance
and water relations in the Soft Tree Fern, 
.
D. antarctica
In  addition,  the  study  describes  how  ecophysiological
attributes may contribute to the success of 
D. antarctica
in  an  environment  highly  variable  in  PPFD,  water
supply  and  evapotranspirational  deman",2,1,3
4.pdf,350,50,3,2. How long can an individual Dicksonia antarctica potentially live?,4.pdf,3,"D. antarctica

Dicksonia  antarctica

,  at  sites  across  its  natural  distribution  and  in  the  glasshouse. 

Environmental constraints on gas exchange, stomatal conductance and water relations were investigated
Abstract
in  the  Soft Tree  Fern, 
Dicksonia
antarctica
  exhibited  strong  stomatal  response  down  to  a  vapour  pressure  deﬁ",2,1,1
4.pdf,350,50,5,3. In which specific environmental conditions did Dicksonia antarctica exhibit the highest maximum net photosynthetic rate recorded for a fern?,4.pdf,9," the highest yet recorded for
a fern. These observations are consistent with the relatively low growth typically observed in 
 on sunny,
D. antarctica
exposed sites and vice versa on cool, humid sites exposed to sunﬂecks. Favourable water relations maintained under
conditions of moderate VPD (2.03 kPa) were probably due to stomatal control. However",2,1.5,3
4.pdf,350,50,5,4. How do the fronds of Dicksonia antarctica potentially contribute to water acquisition?,4.pdf,35,"68). However, water absorption
for most ferns is thought to occur principally through
a  subterranean  root  system  or  rhizomatous  mats  in
epiphytic  ferns  (Andrade  &  Nobel  1997;  Hietz  &
Briones 1998).

et al

Dicksonia antarctica

Although the ecophysiology of epiphytic ferns (Hietz
&  Briones  1998)  and  some  ground  fern  species  is",2,1,3
4.pdf,350,50,3,6. Why might Dicksonia antarctica be considered to occupy a broad ecological niche?,4.pdf,0,"Austral Ecology

 (2002) 

27

, 360–368

Ecophysiology of the Soft Tree Fern, 
Labill

Dicksonia antarctica

1,3†

 N. J. DAVIDSON,

M. A. HUNT,
1
School of Plant Science, University of Tasmania, GPO Box 252-55, Hobart, Tasmania 7001, 
Australia (Email: neil.davidson@plant.utas.edu.au), 
Hobart, Tasmania, Australia and 
Hobart, Tasmania, Australia",2,1,3
4.pdf,350,50,5,6. Why might Dicksonia antarctica be considered to occupy a broad ecological niche?,4.pdf,3,"D. antarctica

Dicksonia  antarctica

,  at  sites  across  its  natural  distribution  and  in  the  glasshouse. 

Environmental constraints on gas exchange, stomatal conductance and water relations were investigated
Abstract
in  the  Soft Tree  Fern, 
Dicksonia
antarctica
  exhibited  strong  stomatal  response  down  to  a  vapour  pressure  deﬁ",2,1,3
5.pdf,350,50,1,2. In which geographic location was Dicksonia antarctica found to grow the fastest?,5.pdf,38,"and South America. There are three
species of Dicksonia in Australia [15]. In our study region, the distributions of D. antarctica
and C. australis overlap, with both found predominantly in cool, wet gullies. Cyathea austra-
lis is more tolerant of drier micro-climates, and commonly found in the mid to lower eleva-
tions where it is warmer and drie",2,1,3
5.pdf,350,50,3,2. In which geographic location was Dicksonia antarctica found to grow the fastest?,5.pdf,38,"and South America. There are three
species of Dicksonia in Australia [15]. In our study region, the distributions of D. antarctica
and C. australis overlap, with both found predominantly in cool, wet gullies. Cyathea austra-
lis is more tolerant of drier micro-climates, and commonly found in the mid to lower eleva-
tions where it is warmer and drie",2,1,5
5.pdf,350,50,5,2. In which geographic location was Dicksonia antarctica found to grow the fastest?,5.pdf,38,"and South America. There are three
species of Dicksonia in Australia [15]. In our study region, the distributions of D. antarctica
and C. australis overlap, with both found predominantly in cool, wet gullies. Cyathea austra-
lis is more tolerant of drier micro-climates, and commonly found in the mid to lower eleva-
tions where it is warmer and drie",2,2,2
5.pdf,350,50,5,2. In which geographic location was Dicksonia antarctica found to grow the fastest?,5.pdf,160,"ut also spread more east-
west with minimal difference in latitude. As such, latitude was unlikely to be a factor affecting
our results.

Cyathea grow faster than Dicksonia

We confirmed that C. australis grows faster than D. antarctica. This is perhaps not surprising
given Cyathea as a genus has many very fast growing species and, on average, have",2,1.5,5
5.pdf,350,50,3,3. How does the initial height of Dicksonia antarctica impact its growth rate?,5.pdf,116,"is with no signifi-
cant effect identified for slope, elevation or aspect. In contrast, D. antarctica grew more rapidly
on steeper slopes at a rate of 0.3mm/year for each additional degree in slope (Btail = 0.010).
Elevation and aspect had no influence on the growth rate of D. antarctica and C. australis.

Growth rates and geographic location

Othe",2,1,5
5.pdf,350,50,5,3. How does the initial height of Dicksonia antarctica impact its growth rate?,5.pdf,116,"is with no signifi-
cant effect identified for slope, elevation or aspect. In contrast, D. antarctica grew more rapidly
on steeper slopes at a rate of 0.3mm/year for each additional degree in slope (Btail = 0.010).
Elevation and aspect had no influence on the growth rate of D. antarctica and C. australis.

Growth rates and geographic location

Othe",2,1,3
5.pdf,350,50,3,4. What reasoning did the researchers provide for the increased growth rate in taller Dicksonia antarctica?,5.pdf,52,"ables, influence the rate of growth of D. antarctica and C.
australis? Finally, from our results: Are we able to devise a simple equation of dividing height
by annual growth rate to estimate tree fern age? Given there is no clear consensus within the
literature on which species grows faster, and at the leaf scale both have equivalent photosyn-
thet",2,1,2
5.pdf,350,50,3,4. What reasoning did the researchers provide for the increased growth rate in taller Dicksonia antarctica?,5.pdf,51," hypotheses: What are the rates of growth of D.
antarctica and C. australis and do rates of growth vary between these two species? What fac-
tors, including environmental variables, influence the rate of growth of D. antarctica and C.
australis? Finally, from our results: Are we able to devise a simple equation of dividing height
by annual growth r",2,1,2
5.pdf,350,50,5,4. What reasoning did the researchers provide for the increased growth rate in taller Dicksonia antarctica?,5.pdf,51," hypotheses: What are the rates of growth of D.
antarctica and C. australis and do rates of growth vary between these two species? What fac-
tors, including environmental variables, influence the rate of growth of D. antarctica and C.
australis? Finally, from our results: Are we able to devise a simple equation of dividing height
by annual growth r",2,1,1
5.pdf,350,50,3,6. How did the researchers account for post-fire environments in the growth measurement of Dicksonia antarctica?,5.pdf,10,"ncreasing 5mm/yr per metre of additional
height. Dicksonia antarctica averaged 33 (± 13)mm/year, increasing by 6mm/yr/m. Growth
rates dependent on initial height were unexpected and we discuss possible reasons for this
finding. Variable growth rates also suggest that common age estimation methods of dividing
height by average growth rate are likely",2,1,3
5.pdf,350,50,5,6. How did the researchers account for post-fire environments in the growth measurement of Dicksonia antarctica?,5.pdf,10,"ncreasing 5mm/yr per metre of additional
height. Dicksonia antarctica averaged 33 (± 13)mm/year, increasing by 6mm/yr/m. Growth
rates dependent on initial height were unexpected and we discuss possible reasons for this
finding. Variable growth rates also suggest that common age estimation methods of dividing
height by average growth rate are likely",2,1.5,3
6.pdf,350,50,5,2. How are tree ferns propagated for use in commercial horticulture?,6.pdf,97,"  conservation  management  of  this 

tree  fern  resource  elsewhere  in  south-eastern  Australia,  wherever  commercial  sale  or 

harvest of the species is to be entertained. 

We first consider the regeneration biology and ecophysiology of this tree fern in native 

forest  understories  and  then  relate  growth  requirements  of  the  spec",2,1,3
6.pdf,350,50,5,4. Why are certain tree fern species protected under international trade regulations?,6.pdf,107,"tion, 

Tasmanian tree ferns are unprotected except in designated reserves, conservation areas and 

national parks. This resource presents definite opportunities for sustainable horticultural use 

of such an attractive, versatile and abundant tree fern species. However, there are increasing 

national and international responsibilities to manage ",2,1.5,3
6.pdf,350,50,5,4. Why are certain tree fern species protected under international trade regulations?,6.pdf,114," individual populations or the impact which present and past cutting 

practices and removals have had on local population densities. 

At present, the tree fern industry is based on les s-than- adequate control of domestic harvest 

for  low-priced  and  low-return  local  and  mainland  markets.  Although  domestic  trade  is 

focussed  on  two ",2,1,2
7.pdf,350,50,1,1. How do logging practices in Tasmania impact the habitat of Dicksonia antarctica?,7.pdf,118,"ther than providing any real benefit
to biodiversity. 

III. Extermination and
Logging Impacts
Upon Native &
Endangered Wildlife

Logging Impacts on Native
Animals

There are many unique and endemic wild ani-
mals in the native forests of Tasmania, an area
recognized as one of the world’s top ten biologi-
cal risk ‘hot spots’ for future species ext",2,1.5,2
7.pdf,350,50,3,1. How do logging practices in Tasmania impact the habitat of Dicksonia antarctica?,7.pdf,118,"ther than providing any real benefit
to biodiversity. 

III. Extermination and
Logging Impacts
Upon Native &
Endangered Wildlife

Logging Impacts on Native
Animals

There are many unique and endemic wild ani-
mals in the native forests of Tasmania, an area
recognized as one of the world’s top ten biologi-
cal risk ‘hot spots’ for future species ext",2,1,2
7.pdf,350,50,3,2. Are there any conservation efforts in place to protect Dicksonia antarctica within Tasmanian forests?,7.pdf,123," Conservation Act of
1999 (EPBC) and Threatened Protection
Species Act of 1995 (TPSA).22

The clear-cutting, fire-bombing, and conver-
sion of native forests to plantations by compa-
nies like Gunns Limited and its main wood
supplier, Forestry Tasmania, have significant
impacts on the native wildlife that lives in

Tasmania’s forests. Critical habi",2,1,2
7.pdf,350,50,5,2. Are there any conservation efforts in place to protect Dicksonia antarctica within Tasmanian forests?,7.pdf,123," Conservation Act of
1999 (EPBC) and Threatened Protection
Species Act of 1995 (TPSA).22

The clear-cutting, fire-bombing, and conver-
sion of native forests to plantations by compa-
nies like Gunns Limited and its main wood
supplier, Forestry Tasmania, have significant
impacts on the native wildlife that lives in

Tasmania’s forests. Critical habi",2,1,5
7.pdf,350,50,1,3. How does the logging of old growth forests affect the population of Dicksonia antarctica?,7.pdf,83,"logging in
those areas9.

In Tasmania, this is further compromised by
the use of whole mapping units to determine
whether areas are old growth. For example, if a
forest area of 300 ha contains 30 ha that
would meet the definition for old growth but
the rest of the mapping unit is dominated by
re-growth, the 30 ha of old growth forest
would not be s",2,1,3
7.pdf,350,50,5,3. How does the logging of old growth forests affect the population of Dicksonia antarctica?,7.pdf,83,"logging in
those areas9.

In Tasmania, this is further compromised by
the use of whole mapping units to determine
whether areas are old growth. For example, if a
forest area of 300 ha contains 30 ha that
would meet the definition for old growth but
the rest of the mapping unit is dominated by
re-growth, the 30 ha of old growth forest
would not be s",2,1,3
7.pdf,350,50,5,3. How does the logging of old growth forests affect the population of Dicksonia antarctica?,7.pdf,103,"ing Old
Growth or High Conservation
Value Forests.

Furthermore, because areas of logging coupes are
determined by operational considerations, even
with Australia’s inappropriately narrow definition
of old growth forests, there are many ""non-old
growth coupes containing old growth."" For

10

11

TASMANIA FOREST BUYERS RANKING

during this year18, ",2,1,1.5
7.pdf,350,50,5,3. How does the logging of old growth forests affect the population of Dicksonia antarctica?,7.pdf,92,"ent old growth"" forests are estimat-
ed to be clear-cut annually. Further coupes con-
taining some “old growth” in fact provided 33.7
percent of pulpwood from Tasmania’s native
state forests on average from 1998-2004, with
other “mature non-old growth” forests providing
37.3 percent of the pulpwood, according to a
report prepared for Forestry Tasma",2,1,3
7.pdf,350,50,3,4. Does the Japanese paper industry consider the conservation of species like Dicksonia antarctica in their procurement policies?,7.pdf,282," CSR policy adoption

(3) Announced paper procurement policy

2 pts

2 pts

2 pts

(4) Purchases

Buyer  x
Non-Buyer  l
2 pts

Score

Comments

(1)x(2)+(3)+(4)

TASMANIA FOREST BUYERS RANKING

Oji Paper
(TSE-1:  3861)

Nippon Paper
(TSE-1:  3893)

Chu-Etsu Pulp 
(TSE-1:  3877)

FUJIFILM Corporation 
:Subsidiaries of FUJIFILM Holdings
Corporation (T",2,1.5,1.5
7.pdf,350,50,5,4. Does the Japanese paper industry consider the conservation of species like Dicksonia antarctica in their procurement policies?,7.pdf,13," Japanese companies that buy

paper from these companies. The ranking is
based on a number of criteria and is intended
to identify the problematic companies that are
exacerbating forest destruction in Tasmania as
well as the companies that are making efforts to
improve the situation. The 29 evaluated com-
panies are first ranked according to a gene",2,1,1
7.pdf,350,50,5,4. Does the Japanese paper industry consider the conservation of species like Dicksonia antarctica in their procurement policies?,7.pdf,282," CSR policy adoption

(3) Announced paper procurement policy

2 pts

2 pts

2 pts

(4) Purchases

Buyer  x
Non-Buyer  l
2 pts

Score

Comments

(1)x(2)+(3)+(4)

TASMANIA FOREST BUYERS RANKING

Oji Paper
(TSE-1:  3861)

Nippon Paper
(TSE-1:  3893)

Chu-Etsu Pulp 
(TSE-1:  3877)

FUJIFILM Corporation 
:Subsidiaries of FUJIFILM Holdings
Corporation (T",2,1.5,2
7.pdf,350,50,5,4. Does the Japanese paper industry consider the conservation of species like Dicksonia antarctica in their procurement policies?,7.pdf,12,"asmania will greatly improve. 

In this report, we identify and rank both the
Japanese paper companies that purchase
Tasmanian woodchips, such as Nippon and Oji
Paper, and the Japanese companies that buy

paper from these companies. The ranking is
based on a number of criteria and is intended
to identify the problematic companies that are
exacerbat",2,1,1
7.pdf,350,50,5,5. Are there any regulations in place to ensure the protection of High Conservation Value Forests where Dicksonia antarctica may be found?,7.pdf,109,"ds;
Tasman Peninsula; Eastern Tiers; Great Western
Tiers; Reedy Marsh; and the Ben Lomond
extensions. However, most of these areas have
not been fully protected yet. Currently, the
Australian government’s stated commitment is to
reduce clear-cutting10 to 20 percent of the total
area of old growth forest logged on public land
by 2010. However, Fores",2,1,2
7.pdf,350,50,1,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,184,"nia
are certified under the Australian Forestry
Standard (AFS), which is a timber certifica-
tion scheme developed in Australia and
designed specifically to provide legal cover for
Gunns’ egregious logging practices. This certi-
fication scheme is fraught with many prob-
lems that allow certification to be given
despite practices that include clear",2,1.5,3
7.pdf,350,50,3,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,184,"nia
are certified under the Australian Forestry
Standard (AFS), which is a timber certifica-
tion scheme developed in Australia and
designed specifically to provide legal cover for
Gunns’ egregious logging practices. This certi-
fication scheme is fraught with many prob-
lems that allow certification to be given
despite practices that include clear",2,1,3
7.pdf,350,50,5,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,184,"nia
are certified under the Australian Forestry
Standard (AFS), which is a timber certifica-
tion scheme developed in Australia and
designed specifically to provide legal cover for
Gunns’ egregious logging practices. This certi-
fication scheme is fraught with many prob-
lems that allow certification to be given
despite practices that include clear",2,1,3.5
7.pdf,350,50,5,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,211," AFS standard-setting
process have refused to adopt legitimate sustainable
standards, specifically to ensure that high conserva-
tion value forests were protected and that wood
arising from the conversion of forests to farmland
or plantations could not be branded as sustainable
by AFS. 

Given that the Australia Forestry Standard has no
credibility",2,1,4
7.pdf,350,50,5,6. How does the Australian Forestry Standard (AFS) certification process account for the protection of species like Dicksonia antarctica?,7.pdf,183,"accelerate the
wedge-tailed eagle toward extinction.

V. The Inadequacy of

AFS Certification Vs.
the Forest
Stewardship Council
(FSC)

Many of the woodchips produced in Tasmania
are certified under the Australian Forestry
Standard (AFS), which is a timber certifica-
tion scheme developed in Australia and
designed specifically to provide legal cove",2,1,3
8.pdf,350,50,3,3. Are there any legal restrictions on importing Tasmanian soft tree ferns into the UK?,8.pdf,6,"imported wild tree ferns. This is simply not a risk we should be taking.  

As already pointed out, these tree ferns are from a temperate rainforest habitat. This means 
they require lots of water to thrive. They can grow well in mild parts of western Britain, where 
we have our own temperate rainforest, now reduced to about 1 percent of the UK, do",2,1,3
8.pdf,350,50,5,3. Are there any legal restrictions on importing Tasmanian soft tree ferns into the UK?,8.pdf,6,"imported wild tree ferns. This is simply not a risk we should be taking.  

As already pointed out, these tree ferns are from a temperate rainforest habitat. This means 
they require lots of water to thrive. They can grow well in mild parts of western Britain, where 
we have our own temperate rainforest, now reduced to about 1 percent of the UK, do",2,1,2
1.pdf,500,0,5,3. How do tree ferns contribute to the biodiversity of Australian forests?,1.pdf,27,"06; Sniderman & Haberle 2012).

Currently, tree ferns are found in all Australian
states and one territory. Queensland has the highest
diversity of tree ferns with 15 native tree fern species,
followed by eleven in New South Wales, seven in
Victoria, ﬁve in Tasmania,
two in the Australian
Capital Territory (ACT), one (previously two) in
South Australia (a relict population at Waterfall
Creek as now extinct (Jones 1998)), one in Western
Australia
in the Northern Territory
(Table 1).

and none

Th",2,1,3.5
1.pdf,500,0,5,3. How do tree ferns contribute to the biodiversity of Australian forests?,1.pdf,8,"ES 2018).

forests

The biogeographic distributions of

tropical and
temperate
in Australia have been well
described (Kirkpatrick et al. 1988; Wells & Hickey
1999; Ashton 2000; Corlett & Primack 2011).
Knowledge of tree ferns in tropical forests in Aus-
tralia is largely captured in the literature focused on
taxonomy and distribution (Field 2020), with a few
studies on tree fern conservation and ecology (e.g.

© 2021 Ecological Society of Australia.

doi:10.1111/aec.13103

146

S . D O N O G H ",2,1,3
2.pdf,500,0,3,"4. Apart from tree-ferns, what other factors are affected by the decline in tree-fern abundance due to clearfelling?",2.pdf,0,"Forest Ecology and Management 199 (2004) 153–163

Decline in tree-fern abundance after clearfell harvesting
Keely Ough*, Anna Murphy
Department of Sustainability and Environment, Arthur Rylah Institute for Environmental Research,
PO Box 137, Heidelberg 3084, Vic., Australia

Received 23 February 2004; received in revised form 14 May 2004; accepted 14 May 2004

Abstract

Common and widespread plant species can change in abundance as a result of timber harvesting practices, with potentially
broad ",2,1,3
2.pdf,500,0,5,"5. What specific silvicultural practice is primarily responsible for the changes in tree-fern abundance, and when did it become the major system practiced?",2.pdf,62,"learfelling practices can be imple-
mented that ameliorate the decline in tree-fern popula-
tions. Ough and Murphy (1996, 1998)
suggest
measures such as tree-fern reserves within coupes
(‘Understorey Islands’), reducing the mechanically
disturbed area within coupes, reducing the heaping
of slash, reducing the intensity of slash-burns, and
longer rotation periods to allow for trunk height growth
to be sufﬁcient for epiphyte establishment. Franklin
et al. (1997) suggest that in order to best conse",2,1.5,4
2.pdf,500,0,5,"5. What specific silvicultural practice is primarily responsible for the changes in tree-fern abundance, and when did it become the major system practiced?",2.pdf,3," of other species
that rely directly on tree-ferns for habitat. The altered forest structure resulting from reduced tree-fern numbers will affect local
microclimates and forest processes. As tree-fern recruitment is low and growth rates are slow, these changes are likely to be long
term. Survival of individuals through harvesting operations is crucial to the maintenance of the role of tree-ferns as a keystone
species in Wet Forests and simple modiﬁcations to current practices could increase the ",2,1,3
2.pdf,500,0,5,6. What conservation strategies that can be suggested to mitigate the decline in tree-fern populations due to clearfelling?,2.pdf,52,"9 (2004) 153–163

161

microclimatic requirements, limited dispersal capabil-
ities and high mortality (Ashton, 1976; Peck et al.,
1990; Unwin and Hunt, 1996). Additional studies are
needed to assess whether, and why, the apparently low
recruitment rate of tree-ferns in stands regenerating
after clearfelling differs from recruitment rates in
naturally disturbed forest.

4.1. Implications of tree-fern decline for other
species

An important implication of tree-fern decline is the
impact on the ma",2,1.5,5
3.pdf,500,0,3,1. What type of environment does the Dicksonia antarctica naturally grow in?,3.pdf,12,"(June 2002). ""Ecophysiology of the Soft Tree Fern, Dicksonia antarctica Labill"".

Austral Ecology. 27 (4): 360–368. doi:10.1046/j.1442-9993.2002.01190.x (https://doi.org/10.1046%2Fj.1442-9993.2002.01190.x).

4. ""Dicksonia antarctica"" (https://www.rhs.org.uk/Plants/5794/Dicksonia-antarctica/Details). Royal Horticultural Society. Retrieved 29 May

2020.

5. ""AGM Plants - Ornamental"" (https://www.rhs.org.uk/plants/pdfs/agm-lists/agm-ornamentals.pdf) (PDF). Royal Horticultural Society. July

2017. p",2,1,3
3.pdf,500,0,5,2. How tall can Dicksonia antarctica typically grow?,3.pdf,6,"ctica  is  a  long  lived  species  in
comparison  to  the  trees  that  also  grow  in  its  natural  habitat.  While  it  does  best  in  the  dappled  shade  of
other trees, it must also be able to survive high light intensities when a forest gap is created by the fall of a
tree. It also shows adaptation to fire with the trunk and top of the plant being quite resistant to damage.[3]

Cultivation

Dicksonia antarctica grows best in areas of rainfall of over 1,000 mm per year but in lower rainf",2,1,2
3.pdf,500,0,1,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,5,"

Species:

D. antarctica

Binomial name

Dicksonia antarctica

Labill. 1807

Habitat

The fern grows on damp, sheltered woodland slopes and moist gullies, and they occasionally occur at high
altitudes in cloud forests. Dicksonia antarctica is the most abundant tree fern in South Eastern Australia.

Shoot

The plant can grow in acid, neutral and alkaline soils. It can grow in semi-shade. It strongly resents drought
or  dryness  at  the  roots,  and  does  best  in  moist  soil.  Dicksonia  antar",2,1,2
3.pdf,500,0,3,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,5,"

Species:

D. antarctica

Binomial name

Dicksonia antarctica

Labill. 1807

Habitat

The fern grows on damp, sheltered woodland slopes and moist gullies, and they occasionally occur at high
altitudes in cloud forests. Dicksonia antarctica is the most abundant tree fern in South Eastern Australia.

Shoot

The plant can grow in acid, neutral and alkaline soils. It can grow in semi-shade. It strongly resents drought
or  dryness  at  the  roots,  and  does  best  in  moist  soil.  Dicksonia  antar",2,1,1
3.pdf,500,0,5,3. What is the primary method of reproduction for Dicksonia antarctica?,3.pdf,5,"

Species:

D. antarctica

Binomial name

Dicksonia antarctica

Labill. 1807

Habitat

The fern grows on damp, sheltered woodland slopes and moist gullies, and they occasionally occur at high
altitudes in cloud forests. Dicksonia antarctica is the most abundant tree fern in South Eastern Australia.

Shoot

The plant can grow in acid, neutral and alkaline soils. It can grow in semi-shade. It strongly resents drought
or  dryness  at  the  roots,  and  does  best  in  moist  soil.  Dicksonia  antar",2,1,2
3.pdf,500,0,3,4. Why is it advised to keep old fronds on the plant?,3.pdf,1,"e (adjoining the
trunk)  and  on  the  crown.  The  large,  dark  green,  roughly-textured  fronds  spread  in  a  canopy  of  2–6  m
(6 ft 7 in – 19 ft 8 in) in diameter. The shapes of the stems vary as some grow curved and there are multi-
headed ones. The fronds are borne in flushes, with fertile and sterile fronds often in alternating layers.
The largest individual at present for which there is photographic evidence is one at Weld Hill, Tasmania
(ten miles (16 km) north-east of Craycroft) wh",2,1,5
3.pdf,500,0,5,4. Why is it advised to keep old fronds on the plant?,3.pdf,1,"e (adjoining the
trunk)  and  on  the  crown.  The  large,  dark  green,  roughly-textured  fronds  spread  in  a  canopy  of  2–6  m
(6 ft 7 in – 19 ft 8 in) in diameter. The shapes of the stems vary as some grow curved and there are multi-
headed ones. The fronds are borne in flushes, with fertile and sterile fronds often in alternating layers.
The largest individual at present for which there is photographic evidence is one at Weld Hill, Tasmania
(ten miles (16 km) north-east of Craycroft) wh",2,1,3
3.pdf,500,0,5,4. Why is it advised to keep old fronds on the plant?,3.pdf,2,"ich has a trunk 39 feet (12 meters) in height, with a DBH
(diameter at breast height) of four feet (1.2 meters) and is still three feet (0.9 meter) thick just beneath
the rosette of 18 foot (5.5 meters) fronds.[1][2]

The  ""trunk""  of  this  fern  is  merely  the  decaying  remains  of  earlier  growth  of  the  plant  and  forms  a
medium through which the roots grow. The trunk is usually solitary, without runners, but may produce
offsets. They can be cut down and, if they are kept moist, the t",2,1,7
3.pdf,500,0,3,5. What adaptation does Dicksonia antarctica have for surviving in fire-prone areas?,3.pdf,5,"

Species:

D. antarctica

Binomial name

Dicksonia antarctica

Labill. 1807

Habitat

The fern grows on damp, sheltered woodland slopes and moist gullies, and they occasionally occur at high
altitudes in cloud forests. Dicksonia antarctica is the most abundant tree fern in South Eastern Australia.

Shoot

The plant can grow in acid, neutral and alkaline soils. It can grow in semi-shade. It strongly resents drought
or  dryness  at  the  roots,  and  does  best  in  moist  soil.  Dicksonia  antar",2,1,5
